league,year,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_coef,ppda_att,ppda_def,oppda_coef,oppda_att,oppda_def,team,xG_diff,xGA_diff,xpts_diff
Bundesliga,2018,h,3.08883,0.697274,2.33114,0.697274,11,3,3,1,2.7901000000000002,w,2018-08-24 21:30:00,1,0,0,3,1.633866,9.411764705882353,160,17,13.333333333333334,360,27,Bayern Munich,0.08883000000000019,-0.30272600000000005,-0.20989999999999975
Bundesliga,2018,a,1.71434,0.0990837,1.71434,0.0990837,18,6,3,0,2.5713000000000004,w,2018-09-01 16:30:00,1,0,0,3,1.6152563,7.88,197,25,31.666666666666668,380,12,Bayern Munich,-1.28566,0.0990837,-0.42869999999999964
Bundesliga,2018,h,1.40345,0.784725,1.40345,0.0270284,13,1,3,1,1.8758,w,2018-09-15 13:30:00,1,0,0,3,1.3764216,8.705882352941176,148,17,40.27272727272727,443,11,Bayern Munich,-1.59655,-0.215275,-1.1242
Bundesliga,2018,a,2.58882,0.358342,1.83112,0.358342,7,1,2,0,2.8166,w,2018-09-22 16:30:00,1,0,0,3,1.4727780000000001,7.190476190476191,151,21,17.20689655172414,499,29,Bayern Munich,0.5888200000000001,0.358342,-0.18339999999999979
Bundesliga,2018,h,1.43314,1.32512,1.43314,1.32512,3,3,1,1,1.3957,d,2018-09-25 18:30:00,0,1,0,1,0.10802,8.473684210526315,161,19,11.117647058823529,378,34,Bayern Munich,0.4331400000000001,0.3251200000000001,0.39569999999999994
Bundesliga,2018,a,2.40599,1.48921,2.40599,0.731438,20,4,0,2,2.0448,l,2018-09-28 18:30:00,0,0,1,0,1.674552,4.161290322580645,129,31,17.0,340,20,Bayern Munich,2.40599,-0.5107900000000001,2.0448
Bundesliga,2018,h,0.595523,0.559058,0.595523,0.559058,8,1,0,3,1.3054999999999999,l,2018-10-06 16:30:00,0,0,1,0,0.03646499999999997,7.428571428571429,156,21,40.18181818181818,442,11,Bayern Munich,0.595523,-2.4409419999999997,1.3054999999999999
Bundesliga,2018,a,2.75811,0.815476,2.75811,0.815476,7,2,3,1,2.6766,w,2018-10-20 13:30:00,1,0,0,3,1.942634,13.529411764705882,230,17,15.8,316,20,Bayern Munich,-0.24189000000000016,-0.18452400000000002,-0.3233999999999999
Bundesliga,2018,a,2.15695,0.592384,2.15695,0.592384,12,3,2,1,2.498,w,2018-10-27 13:30:00,1,0,0,3,1.5645660000000001,8.55,171,20,27.357142857142858,383,14,Bayern Munich,0.15695000000000014,-0.407616,-0.5019999999999998
Bundesliga,2018,h,1.8539,0.592458,1.8539,0.592458,17,1,1,1,2.3461,d,2018-11-03 14:30:00,0,1,0,1,1.2614420000000002,6.0,144,24,21.875,350,16,Bayern Munich,0.8539000000000001,-0.40754199999999996,1.3460999999999999
Bundesliga,2018,a,1.84247,2.56191,1.84247,1.80413,16,5,2,3,0.8308000000000001,l,2018-11-10 17:30:00,0,0,1,0,0.03834000000000004,9.741935483870968,302,31,24.642857142857142,345,14,Bayern Munich,-0.15752999999999995,-0.43808999999999987,0.8308000000000001
Bundesliga,2018,h,2.81107,1.36755,2.81107,1.36755,13,0,3,3,2.3245999999999998,d,2018-11-24 14:30:00,0,1,0,1,1.44352,6.777777777777778,122,18,62.44444444444444,562,9,Bayern Munich,-0.18893000000000004,-1.63245,1.3245999999999998
Bundesliga,2018,a,3.29433,0.637321,3.29433,0.637321,14,7,2,1,2.8282000000000003,w,2018-12-01 14:30:00,1,0,0,3,2.657009,16.733333333333334,251,15,17.571428571428573,369,21,Bayern Munich,1.29433,-0.362679,-0.17179999999999973
Bundesliga,2018,h,2.8246,0.191129,2.8246,0.191129,21,2,3,0,2.898,w,2018-12-08 14:30:00,1,0,0,3,2.633471,4.766666666666667,143,30,66.71428571428571,467,7,Bayern Munich,-0.17539999999999978,0.191129,-0.10199999999999987
Bundesliga,2018,a,4.18084,0.628893,4.18084,0.628893,23,1,4,0,2.9368,w,2018-12-15 14:30:00,1,0,0,3,3.5519469999999997,8.181818181818182,180,22,26.294117647058822,447,17,Bayern Munich,0.1808399999999999,0.628893,-0.06320000000000014
Bundesliga,2018,h,1.81321,0.721767,1.81321,0.721767,7,0,1,0,2.2502000000000004,w,2018-12-19 19:30:00,1,0,0,3,1.091443,6.407407407407407,173,27,11.878787878787879,392,33,Bayern Munich,0.81321,0.721767,-0.7497999999999996
Bundesliga,2018,a,2.04036,1.31242,2.04036,1.31242,12,3,3,0,1.9664,w,2018-12-22 17:30:00,1,0,0,3,0.7279400000000003,14.0,224,16,17.285714285714285,363,21,Bayern Munich,-0.9596399999999998,1.31242,-1.0336
Bundesliga,2018,a,3.31311,1.1596,3.31311,1.1596,17,7,3,1,2.6418999999999997,w,2019-01-18 19:30:00,1,0,0,3,2.15351,12.727272727272727,280,22,12.5,350,28,Bayern Munich,0.31311,0.15959999999999996,-0.3581000000000003
Bundesliga,2018,h,3.41668,0.361664,2.6589,0.361664,15,2,4,1,2.9217,w,2019-01-27 14:30:00,1,0,0,3,2.297236,7.473684210526316,142,19,21.82608695652174,502,23,Bayern Munich,-0.5833200000000001,-0.638336,-0.07830000000000004
Bundesliga,2018,a,1.868,1.2769,1.868,1.2769,7,4,1,3,1.8201000000000003,l,2019-02-02 14:30:00,0,0,1,0,0.5911000000000002,8.451612903225806,262,31,8.931034482758621,259,29,Bayern Munich,0.8680000000000001,-1.7231,1.8201000000000003
Bundesliga,2018,h,2.35845,1.39766,2.35845,1.39766,17,1,3,1,2.0436,w,2019-02-09 17:30:00,1,0,0,3,0.96079,5.870967741935484,182,31,28.857142857142858,404,14,Bayern Munich,-0.6415500000000001,0.3976599999999999,-0.9563999999999999
Bundesliga,2018,a,2.20232,0.510867,2.20232,0.510867,11,0,3,2,2.5385,w,2019-02-15 19:30:00,1,0,0,3,1.6914529999999999,6.0476190476190474,127,21,24.27777777777778,437,18,Bayern Munich,-0.7976800000000002,-1.489133,-0.4615
Bundesliga,2018,h,0.989434,0.279649,0.989434,0.279649,4,6,1,0,2.0652,w,2019-02-23 14:30:00,1,0,0,3,0.7097850000000001,7.892857142857143,221,28,13.344827586206897,387,29,Bayern Munich,-0.010565999999999964,0.279649,-0.9348000000000001
Bundesliga,2018,a,5.94023,0.58281,5.18245,0.58281,15,3,5,1,2.9929,w,2019-03-02 17:30:00,1,0,0,3,4.59964,15.764705882352942,268,17,45.083333333333336,541,12,Bayern Munich,0.9402299999999997,-0.41718999999999995,-0.007099999999999884
Bundesliga,2018,h,3.77617,0.159247,3.77617,0.159247,11,0,6,0,2.971,w,2019-03-09 14:30:00,1,0,0,3,3.616923,10.826086956521738,249,23,33.54545454545455,369,11,Bayern Munich,-2.22383,0.159247,-0.028999999999999915
Bundesliga,2018,h,2.66818,0.302976,2.66818,0.302976,18,5,6,0,2.8082,w,2019-03-17 17:00:00,1,0,0,3,2.365204,7.7894736842105265,148,19,35.25,423,12,Bayern Munich,-3.33182,0.302976,-0.1918000000000002
Bundesliga,2018,a,3.23843,0.719026,3.23843,0.719026,12,3,1,1,2.7626,d,2019-03-30 14:30:00,0,1,0,1,2.519404,5.46875,175,32,28.133333333333333,422,15,Bayern Munich,2.23843,-0.28097399999999995,1.7626
